"activity_date","source_type","fleet_display_name","ahs_mode","actual_tonnes","cycle_count","source_truck_count_observed","truck_count","calendar_hours","not_required_hours","required_hours","cyclone_standby_hours","scheduled_maintenance_hours","unscheduled_maintenance_hours","available_hours","operational_standby_hours","operating_hours","operating_delay_hours","payload_from_quantity_per_cycle","quantity_reporting_avg","payload","loaded_distance_km","loaded_speed_kph","empty_distance_km","empty_speed_kph","queue_load_minutes","spot_load_minutes","loaded_travel_minutes","truck_loading_minutes","queue_dump_minutes","spot_dump_minutes","dumping_minutes","empty_travel_minutes","plan_model_scope","source_gross_cycle_minutes","source_availability_pct"
"2025-07-26","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-26","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-26","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-27","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-27","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-27","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-28","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-28","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-28","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-29","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-29","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-29","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-30","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-30","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-30","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-07-31","mtp","CAT793","Plan","526770.6202569372","2204.352346337863","",,"","","",,"","","","","","","238.96843040182412","238.96843040182412","238.96843040182412","2.8780749342118037","23.407926998798143","2.8780749342118037","31.568695298823826","","0.7566198748030009","7.377180220255067","2.5868067948355415","","0.02174422915941201","1.4902900161016375","5.470118242711856","direct_physical","21.07956963369988",""
"2025-07-31","mtp","EH4000","Plan","164146.83964210146","715.3913782744119","",,"","","",,"","","","","","","229.4504024329149","229.4504024329149","229.4504024329149","1.3299979443075836","23.030723298732216","1.3299979443075836","25.298673294873055","","0.650000000000001","3.464931414587739","3.1359316401431006","","1.7422798754598854","1.83","3.154310731172887","direct_physical","17.260240691391598","0.886529354207436"
"2025-07-31","mtp","EH5000","Plan","319081.2190855535","1092.743900977922","",,"","","",,"","","","","","","292.00000000000017","292.00000000000017","292.00000000000017","2.7708507247739504","22.228821730180353","2.7708507247739504","29.446597288251386","","1.1623556107821733","7.479075836966917","1.8765733617165663","","0.0","2.7197689772514777","5.645849055461764","direct_physical","21.016236801842794",""
"2025-08-01","mtp","CAT793","Plan","453130.90462550084","1892.2263516581274","",,"","","",,"","","","","","","239.46971472436664","239.46971472436664","239.46971472436664","3.063710008979792","23.63181723491299","3.063710008979791","31.986240596919775","","0.8286485670386751","7.778606220228088","2.6014943607234553","","0.015621399699097328","1.5644064965180564","5.746927338390911","direct_physical","21.69233810639171",""
"2025-08-01","mtp","EH4000","Plan","187596.68382016858","817.1719263242016","",,"","","",,"","","","","","","229.56819461972339","229.56819461972339","229.56819461972339","1.369950148854161","23.599701458772607","1.369950148854161","25.851538128091594","","0.6500000000000004","3.4829681669847967","3.137875211225437","","1.7268855301322883","1.8300000000000012","3.1795790457021282","direct_physical","16.937964682493487","0.886529354207436"
"2025-08-01","mtp","EH5000","Plan","379053.53622763895","1298.1285487247926","",,"","","",,"","","","","","","291.9999999999996","291.9999999999996","291.9999999999996","1.6846600406130965","19.885917544115458","1.6846600406130958","25.581232218743622","","1.3344374546933195","5.082974029865509","1.7626014992556958","","0.0","2.9950999275093113","3.951318746980598","direct_physical","17.374921072522866",""
"2025-08-02","mtp","CAT793","Plan","453130.90462550084","1892.2263516581274","",,"","","",,"","","","","","","239.46971472436664","239.46971472436664","239.46971472436664","3.063710008979792","23.63181723491299","3.063710008979791","31.986240596919775","","0.8286485670386751","7.778606220228088","2.6014943607234553","","0.015621399699097328","1.5644064965180564","5.746927338390911","direct_physical","21.69233810639171",""
"2025-08-02","mtp","EH4000","Plan","187596.68382016858","817.1719263242016","",,"","","",,"","","","","","","229.56819461972339","229.56819461972339","229.56819461972339","1.369950148854161","23.599701458772607","1.369950148854161","25.851538128091594","","0.6500000000000004","3.4829681669847967","3.137875211225437","","1.7268855301322883","1.8300000000000012","3.1795790457021282","direct_physical","16.937964682493487","0.886529354207436"
"2025-08-02","mtp","EH5000","Plan","379053.53622763895","1298.1285487247926","",,"","","",,"","","","","","","291.9999999999996","291.9999999999996","291.9999999999996","1.6846600406130965","19.885917544115458","1.6846600406130958","25.581232218743622","","1.3344374546933195","5.082974029865509","1.7626014992556958","","0.0","2.9950999275093113","3.951318746980598","direct_physical","17.374921072522866",""
"2025-08-03","mtp","CAT793","Plan","453130.90462550084","1892.2263516581274","",,"","","",,"","","","","","","239.46971472436664","239.46971472436664","239.46971472436664","3.063710008979792","23.63181723491299","3.063710008979791","31.986240596919775","","0.8286485670386751","7.778606220228088","2.6014943607234553","","0.015621399699097328","1.5644064965180564","5.746927338390911","direct_physical","21.69233810639171",""
"2025-08-03","mtp","EH4000","Plan","187596.68382016858","817.1719263242016","",,"","","",,"","","","","","","229.56819461972339","229.56819461972339","229.56819461972339","1.369950148854161","23.599701458772607","1.369950148854161","25.851538128091594","","0.6500000000000004","3.4829681669847967","3.137875211225437","","1.7268855301322883","1.8300000000000012","3.1795790457021282","direct_physical","16.937964682493487","0.886529354207436"
"2025-08-03","mtp","EH5000","Plan","379053.53622763895","1298.1285487247926","",,"","","",,"","","","","","","291.9999999999996","291.9999999999996","291.9999999999996","1.6846600406130965","19.885917544115458","1.6846600406130958","25.581232218743622","","1.3344374546933195","5.082974029865509","1.7626014992556958","","0.0","2.9950999275093113","3.951318746980598","direct_physical","17.374921072522866",""
"2025-08-04","mtp","CAT793","Plan","453130.90462550084","1892.2263516581274","",,"","","",,"","","","","","","239.46971472436664","239.46971472436664","239.46971472436664","3.063710008979792","23.63181723491299","3.063710008979791","31.986240596919775","","0.8286485670386751","7.778606220228088","2.6014943607234553","","0.015621399699097328","1.5644064965180564","5.746927338390911","direct_physical","21.69233810639171",""
"2025-08-04","mtp","EH4000","Plan","187596.68382016858","817.1719263242016","",,"","","",,"","","","","","","229.56819461972339","229.56819461972339","229.56819461972339","1.369950148854161","23.599701458772607","1.369950148854161","25.851538128091594","","0.6500000000000004","3.4829681669847967","3.137875211225437","","1.7268855301322883","1.8300000000000012","3.1795790457021282","direct_physical","16.937964682493487","0.886529354207436"
"2025-08-04","mtp","EH5000","Plan","379053.53622763895","1298.1285487247926","",,"","","",,"","","","","","","291.9999999999996","291.9999999999996","291.9999999999996","1.6846600406130965","19.885917544115458","1.6846600406130958","25.581232218743622","","1.3344374546933195","5.082974029865509","1.7626014992556958","","0.0","2.9950999275093113","3.951318746980598","direct_physical","17.374921072522866",""
